Start Time, Oct. 16, 2006 at 01:18:08 PM
Energy calibration,  Offset: 0, Slope: 0.5, Quadratic: 0
Live Time (s), 126.66
Real Time (s), 133.5
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 0.5, 0
2, 1, 0
3, 1.5, 0
4, 2, 0
5, 2.5, 0
6, 3, 0
7, 3.5, 0
8, 4, 0
9, 4.5, 0
10, 5, 0
11, 5.5, 0
12, 6, 0
13, 6.5, 0
14, 7, 0
15, 7.5, 0
16, 8, 0
17, 8.5, 0
18, 9, 0
19, 9.5, 0
20, 10, 0
21, 10.5, 0
22, 11, 0
23, 11.5, 0
24, 12, 0
25, 12.5, 0
26, 13, 0
27, 13.5, 0
28, 14, 0
29, 14.5, 0
30, 15, 0
31, 15.5, 0
32, 16, 0
33, 16.5, 0
34, 17, 0
35, 17.5, 0
36, 18, 0
37, 18.5, 0
38, 19, 0
39, 19.5, 0
40, 20, 0
41, 20.5, 0
42, 21, 0
43, 21.5, 0
44, 22, 0
45, 22.5, 0
46, 23, 42
47, 23.5, 60
48, 24, 57
49, 24.5, 76
50, 25, 74
51, 25.5, 75
52, 26, 64
53, 26.5, 80
54, 27, 73
55, 27.5, 88
56, 28, 78
57, 28.5, 104
58, 29, 112
59, 29.5, 102
60, 30, 118
61, 30.5, 141
62, 31, 141
63, 31.5, 168
64, 32, 158
65, 32.5, 166
66, 33, 193
67, 33.5, 225
68, 34, 229
69, 34.5, 238
70, 35, 247
71, 35.5, 252
72, 36, 267
73, 36.5, 292
74, 37, 329
75, 37.5, 344
76, 38, 427
77, 38.5, 437
78, 39, 466
79, 39.5, 546
80, 40, 545
81, 40.5, 633
82, 41, 697
83, 41.5, 742
84, 42, 904
85, 42.5, 994
86, 43, 1052
87, 43.5, 1250
88, 44, 1328
89, 44.5, 1467
90, 45, 1657
91, 45.5, 1871
92, 46, 2072
93, 46.5, 2195
94, 47, 2367
95, 47.5, 2338
96, 48, 2466
97, 48.5, 2431
98, 49, 2384
99, 49.5, 2303
100, 50, 2342
101, 50.5, 2279
102, 51, 2354
103, 51.5, 2220
104, 52, 2140
105, 52.5, 2119
106, 53, 2111
107, 53.5, 2028
108, 54, 2028
109, 54.5, 1989
110, 55, 2103
111, 55.5, 2026
112, 56, 2032
113, 56.5, 1979
114, 57, 1938
115, 57.5, 1975
116, 58, 1944
117, 58.5, 1964
118, 59, 1894
119, 59.5, 1880
120, 60, 1947
121, 60.5, 1921
122, 61, 1860
123, 61.5, 1827
124, 62, 1846
125, 62.5, 1728
126, 63, 1822
127, 63.5, 1866
128, 64, 1852
129, 64.5, 1737
130, 65, 1787
131, 65.5, 1809
132, 66, 1818
133, 66.5, 1749
134, 67, 1738
135, 67.5, 1692
136, 68, 1765
137, 68.5, 1730
138, 69, 1786
139, 69.5, 1684
140, 70, 1667
141, 70.5, 1775
142, 71, 1685
143, 71.5, 1707
144, 72, 1645
145, 72.5, 1561
146, 73, 1680
147, 73.5, 1617
148, 74, 1625
149, 74.5, 1566
150, 75, 1568
151, 75.5, 1596
152, 76, 1492
153, 76.5, 1532
154, 77, 1546
