Isotope,Energy (keV),XS or I,Info
1H,2223.245,100,"(n,g) I-P"
6Li,7245.91,100,"(n,g) I-P"
6Li,477.595,61.2903,"(n,g) I-S"
6Li,6768.81,61.2903,"(n,g) I-P"
7Li,2032.5,100,"(n,g) I-P"
7Li,980.7,11.8568,"(n,g) I-S"
7Li,1052,11.8568,"(n,g) I-P"
9Be,6809.61,100,"(n,g) I-P"
9Be,3367.448,49.1654,"(n,g) I-S"
9Be,853.63,35.8118,"(n,g) I-P"
9Be,2590.014,32.9287,"(n,g) I-S"
9Be,3443.406,16.8437,"(n,g) I-P"
9Be,5956.53,2.519,"(n,g) I-S"
9Be,631.92,0.3111,"(n,g) I-P"
9Be,2896.02,0.2003,"(n,g) I-S"
9Be,547.55,0.1882,"(n,g) I-P"
9Be,2811.68,0.1806,"(n,g) I-S"
9Be,5958.85,0.1168,"(n,g) I-S"
9Be,219.4,0.0774,"(n,g) I-S"
9Be,304.24,0.0395,"(n,g) I-S"
10B,4444.03,100,"(n,g) I-S"
10B,7006.75,84.2988,"(n,g) I-P"
10B,4711.18,39.0244,"(n,g) I-P"
10B,6739.53,28.9634,"(n,g) I-S"
10B,2533.4,21.4939,"(n,g) I-P"
10B,8916.67,20.2744,"(n,g) I-S"
10B,2296.63,13.5671,"(n,g) I-S"
10B,11447.72,7.1646,"(n,g) I-P"
10B,2120,4.5732,"(n,g) I-S"
10B,5019,3.0488,"(n,g) I-S"
10B,4474.5,1.128,"(n,g) I-S"
11B,3368.36,100,"(n,g) I-P"
11B,953.1,41.3013,"(n,g) I-S"
11B,2415.57,41.3013,"(n,g) I-P"
12C,4945.301,100,"(n,g) I-P"
12C,1261.764,47.9621,"(n,g) I-P"
12C,3683.921,47.636,"(n,g) I-S"
12C,3089.049,0.6373,"(n,g) I-S"
12C,595.013,0.3557,"(n,g) I-S"
12C,1856.716,0.2371,"(n,g) I-P"
13C,8174,100,"(n,g) I-P"
13C,6092.4,19.4048,"(n,g) I-S"
13C,1586.92,10.119,"(n,g) I-P"
13C,495.4,9.5238,"(n,g) I-S"
13C,1273.81,5.8333,"(n,g) I-P"
13C,808.9,4.2857,"(n,g) I-S"
13C,2082.53,2.9762,"(n,g) I-P"
14N,5269.162,100,"(n,g) I-S"
14N,5297.826,71.0985,"(n,g) I-S"
14N,5533.391,65.5727,"(n,g) I-P"
14N,1884.78,62.86,"(n,g) I-S"
14N,6322.433,61.0516,"(n,g) I-S"
14N,4508.731,55.9612,"(n,g) I-P"
14N,3677.737,48.6269,"(n,g) I-P"
14N,10829.11,47.8902,"(n,g) I-P"
14N,5562.059,35.7669,"(n,g) I-P"
14N,7298.98,31.4468,"(n,g) I-S"
14N,3531.982,29.9397,"(n,g) I-P"
14N,1678.293,26.6577,"(n,g) I-P"
14N,2520.443,18.6872,"(n,g) I-P"
14N,8310.156,13.7977,"(n,g) I-S"
14N,1999.679,13.7642,"(n,g) I-S"
14N,2830.805,5.7267,"(n,g) I-S"
14N,1681.228,5.4588,"(n,g) I-P"
14N,9148.95,4.923,"(n,g) I-S"
14N,3855.6,2.716,"(n,g) I-S"
14N,1853.98,2.1601,"(n,g) I-S"
14N,3013.55,2.1567,"(n,g) I-S"
14N,3884.2,1.8888,"(n,g) I-S"
14N,1988.46,1.0717,"(n,g) I-S"
14N,1783.63,0.8272,"(n,g) I-P"
14N,2002.3,0.8038,"(n,g) I-S"
14N,9046.71,0.6765,"(n,g) I-S"
14N,908.41,0.5325,"(n,g) I-P"
14N,3300.74,0.5023,"(n,g) I-S"
14N,9151.9,0.5023,"(n,g) I-S"
14N,583.75,0.4756,"(n,g) I-S"
14N,1011.68,0.4555,"(n,g) I-S"
14N,9921.3,0.422,"(n,g) I-S"
14N,1073.02,0.2947,"(n,g) I-P"
14N,2261.83,0.2579,"(n,g) I-P"
14N,1610.79,0.2445,"(n,g) I-P"
14N,8568.6,0.2311,"(n,g) I-S"
14N,2030.8,0.2311,"(n,g) I-S"
14N,7153.4,0.211,"(n,g) I-S"
14N,767.84,0.2076,"(n,g) I-P"
14N,3269.2,0.2009,"(n,g) I-P"
14N,10061.9,0.1909,"(n,g) I-S"
14N,9757.1,0.1875,"(n,g) I-S"
14N,3880.9,0.1608,"(n,g) I-S"
14N,2293.15,0.1507,"(n,g) I-S"
14N,3923.9,0.1239,"(n,g) I-S"
14N,831.22,0.1038,"(n,g) I-S"
14N,4654.1,0.0938,"(n,g) I-S"
14N,608.3,0.0737,"(n,g) I-S"
14N,2898.4,0.0737,"(n,g) I-S"
14N,2726,0.067,"(n,g) I-S"
14N,9219.5,0.0636,"(n,g) I-S"
14N,131.44,0.0603,"(n,g) I-P"
14N,1025.2,0.0536,"(n,g) I-S"
14N,2247.4,0.0502,"(n,g) I-S"
14N,1053.9,0.0502,"(n,g) I-S"
14N,770.4,0.0335,"(n,g) I-S"
14N,10697.8,0.0335,"(n,g) I-S"
14N,383,0.0234,"(n,g) I-P"
16O,870.76,100,"(n,g) I-S"
16O,1087.89,83.2298,"(n,g) I-P"
16O,2184.49,83.2298,"(n,g) I-S"
16O,3272.02,16.7702,"(n,g) I-P"
16O,4142.6,3.4783,"(n,g) I-P"
17O,1982,100,"(n,g) I-S"
17O,3588,37.8,"(n,g) I-P"
17O,822,28.9,"(n,g) I-S"
17O,1652,28,"(n,g) I-S"
17O,2473,21.3,"(n,g) I-S"
17O,1938,17.3,"(n,g) I-S"
17O,2429,14.6,"(n,g) I-S"
17O,3114,14.1,"(n,g) I-S"
17O,2666,11.1,"(n,g) I-P"
17O,3396,9.3,"(n,g) I-S"
17O,1693,0,"(n,g) I-P"
19F,583.55,100,"(n,g) I-P"
19F,656,55,"(n,g) I-S"
19F,665.2,41.3889,"(n,g) I-P"
19F,983.53,32.2222,"(n,g) I-S"
19F,6600.08,26.1111,"(n,g) I-P"
19F,6016.72,26.1111,"(n,g) I-S"
19F,1056.78,26.1111,"(n,g) I-S"
19F,1387.9,23.0556,"(n,g) I-S"
19F,1309.17,21.1111,"(n,g) I-S"
19F,3488.13,20,"(n,g) I-S"
19F,5033.5,17.2222,"(n,g) I-S"
19F,1843.74,16.9444,"(n,g) I-S"
19F,2529.2,16.1111,"(n,g) I-S"
19F,4556.81,14.5,"(n,g) I-P"
19F,3964.85,12.25,"(n,g) I-S"
19F,166.78,12.2222,"(n,g) I-S"
19F,5279.27,11.7222,"(n,g) I-S"
19F,5543.67,11.3889,"(n,g) I-P"
19F,3014.58,11.25,"(n,g) I-P"
19F,2431.08,9.7222,"(n,g) I-S"
19F,3051.43,8.25,"(n,g) I-S"
19F,3586.23,8.0556,"(n,g) I-S"
19F,1542.5,7.6111,"(n,g) I-S"
19F,1148.05,7.3333,"(n,g) I-S"
19F,3112.72,6.6667,"(n,g) I-P"
19F,5291.4,6.5556,"(n,g) I-P"
19F,822.69,6.0833,"(n,g) I-S"
19F,556.41,5.6111,"(n,g) I-P"
19F,2469.34,5.4722,"(n,g) I-S"
19F,2143.26,5.4444,"(n,g) I-S"
19F,2427.83,5.2778,"(n,g) I-S"
19F,4757.02,5.25,"(n,g) I-P"
19F,3074.81,5.25,"(n,g) I-P"
19F,3589.47,4.9444,"(n,g) I-S"
19F,1046,4.9167,"(n,g) I-P"
19F,4173.54,4.6389,"(n,g) I-S"
19F,661.63,4.1944,"(n,g) I-S"
19F,1371.53,4.0278,"(n,g) I-S"
19F,2447.58,3.9167,"(n,g) I-S"
19F,5616.82,3.8333,"(n,g) I-P"
19F,2194.16,3.6944,"(n,g) I-S"
19F,5360.93,3.3056,"(n,g) I-S"
19F,2324.11,3.25,"(n,g) I-P"
19F,4200.56,3,"(n,g) I-S"
19F,3823.05,2.9444,"(n,g) I-S"
19F,662.24,2.8333,"(n,g) I-P"
19F,2636.11,2.6944,"(n,g) I-P"
19F,5935.1,2.6944,"(n,g) I-S"
19F,2921.01,2.6111,"(n,g) I-P"
19F,4245.65,2.5833,"(n,g) I-S"
19F,2179.09,2.5278,"(n,g) I-S"
19F,2965.9,2.5278,"(n,g) I-S"
19F,1970.73,2.5,"(n,g) I-S"
19F,2529.55,2.5,"(n,g) I-S"
19F,2255.82,2.4167,"(n,g) I-S"
19F,3679.91,2.4167,"(n,g) I-S"
19F,2930.31,2.3889,"(n,g) I-S"
19F,1282.14,2.3889,"(n,g) I-P"
19F,2655.74,2.1667,"(n,g) I-S"
19F,1392.22,2.1667,"(n,g) I-S"
19F,3025.1,2.1111,"(n,g) I-S"
19F,1644.5,2.0278,"(n,g) I-S"
19F,1935.5,2.0278,"(n,g) I-S"
19F,2519.05,1.9444,"(n,g) I-P"
19F,2431.43,1.9444,"(n,g) I-S"
19F,2043.89,1.8889,"(n,g) I-S"
19F,978.19,1.6944,"(n,g) I-P"
19F,3219.89,1.6944,"(n,g) I-S"
19F,3387.56,1.6944,"(n,g) I-S"
19F,4951.91,1.6389,"(n,g) I-S"
19F,3741.44,1.6111,"(n,g) I-S"
19F,4081.77,1.5,"(n,g) I-S"
19F,4735.22,1.5,"(n,g) I-S"
19F,4708.19,1.4444,"(n,g) I-S"
19F,5554.59,1.4444,"(n,g) I-S"
19F,2229.8,1.4444,"(n,g) I-P"
19F,4335.09,1.3056,"(n,g) I-S"
19F,2009.52,1.3056,"(n,g) I-P"
19F,1187.7,1.25,"(n,g) I-S"
19F,2623.18,1.2222,"(n,g) I-S"
19F,2309.96,1.1389,"(n,g) I-S"
19F,325.73,1.1389,"(n,g) I-S"
19F,2504.54,1.0556,"(n,g) I-S"
19F,4046.71,1,"(n,g) I-S"
19F,2602.75,0.9722,"(n,g) I-S"
19F,2981.25,0.9722,"(n,g) I-S"
19F,3023.9,0.8889,"(n,g) I-S"
19F,2349.55,0.8611,"(n,g) I-S"
19F,4095.01,0.7778,"(n,g) I-S"
19F,4960.3,0.75,"(n,g) I-S"
19F,3293.23,0.7222,"(n,g) I-S"
19F,1708.52,0.7222,"(n,g) I-P"
19F,3973.47,0.6667,"(n,g) I-S"
19F,2933.76,0.6389,"(n,g) I-S"
19F,620.44,0.6389,"(n,g) I-S"
19F,1318.52,0.6389,"(n,g) I-P"
19F,4639,0.6389,"(n,g) I-S"
19F,3607.8,0.5833,"(n,g) I-S"
19F,4954.5,0.5833,"(n,g) I-S"
19F,2346.3,0.5833,"(n,g) I-S"
19F,2232.9,0.5833,"(n,g) I-S"
19F,3070.9,0.5556,"(n,g) I-S"
19F,653.2,0.5556,"(n,g) I-S"
19F,5318.32,0.5278,"(n,g) I-S"
19F,4313.29,0.5,"(n,g) I-S"
19F,3891.39,0.5,"(n,g) I-S"
19F,4092.2,0.4722,"(n,g) I-S"
19F,2352.44,0.4722,"(n,g) I-S"
19F,1836.5,0.4444,"(n,g) I-S"
19F,2969.7,0.4444,"(n,g) I-S"
19F,2864.68,0.4444,"(n,g) I-S"
19F,2556.35,0.4444,"(n,g) I-S"
19F,2038.08,0.4167,"(n,g) I-S"
19F,3152.1,0.3889,"(n,g) I-S"
19F,3534.4,0.3889,"(n,g) I-S"
19F,2337.58,0.3889,"(n,g) I-S"
19F,2120.95,0.3889,"(n,g) I-S"
19F,534.6,0.3611,"(n,g) I-S"
19F,2187.96,0.3611,"(n,g) I-S"
19F,1853.96,0.3611,"(n,g) I-S"
19F,1545.87,0.3611,"(n,g) I-S"
19F,3711,0.3333,"(n,g) I-S"
19F,3894.2,0.3333,"(n,g) I-S"
19F,2079.72,0.3056,"(n,g) I-S"
19F,5938.1,0.3056,"(n,g) I-S"
19F,4009.3,0.2778,"(n,g) I-S"
19F,1970.95,0.2778,"(n,g) I-S"
19F,1306.2,0.25,"(n,g) I-S"
19F,1135.38,0.25,"(n,g) I-P"
19F,4878.8,0.25,"(n,g) I-S"
19F,3578.6,0.25,"(n,g) I-S"
19F,2370.88,0.2222,"(n,g) I-S"
19F,5622.5,0.2222,"(n,g) I-S"
19F,771.71,0.2222,"(n,g) I-S"
19F,252.65,0.2222,"(n,g) I-S"
19F,4626.5,0.2222,"(n,g) I-S"
19F,5282.1,0.2222,"(n,g) I-S"
19F,3098.1,0.1944,"(n,g) I-S"
19F,4070,0.1944,"(n,g) I-S"
19F,4899.2,0.1944,"(n,g) I-S"
19F,793.36,0.1944,"(n,g) I-S"
19F,2458,0.1667,"(n,g) I-S"
19F,4630.6,0.1667,"(n,g) I-P"
19F,2690.5,0.1667,"(n,g) I-S"
19F,734.84,0.1667,"(n,g) I-S"
19F,1742.7,0.1667,"(n,g) I-S"
19F,4225.8,0.1667,"(n,g) I-S"
19F,2052.8,0.1389,"(n,g) I-S"
19F,820.9,0.1389,"(n,g) I-S"
19F,885,0.1389,"(n,g) I-S"
19F,302.2,0.1389,"(n,g) I-P"
19F,1375.2,0.1389,"(n,g) I-P"
19F,2042,0.1389,"(n,g) I-S"
19F,1555,0.1389,"(n,g) I-S"
19F,3475.3,0.1389,"(n,g) I-S"
19F,2600.3,0.1111,"(n,g) I-S"
19F,691.4,0.1111,"(n,g) I-S"
19F,791.2,0.1111,"(n,g) I-P"
19F,987.2,0.1111,"(n,g) I-S"
19F,2697.9,0.1111,"(n,g) I-S"
19F,894.1,0.0833,"(n,g) I-S"
19F,4262.5,0.0833,"(n,g) I-S"
19F,1020.9,0.0833,"(n,g) I-S"
19F,670.1,0.0833,"(n,g) I-S"
19F,2208.5,0.0556,"(n,g) I-S"
20Ne,2035.65,100,"(n,g) I-P"
20Ne,350.71,80.9069,"(n,g) I-S"
20Ne,4374.14,77.0883,"(n,g) I-S"
20Ne,2793.98,33.4129,"(n,g) I-S"
20Ne,1931.07,23.0549,"(n,g) I-S"
20Ne,1071.27,18.043,"(n,g) I-P"
20Ne,2895.41,10.1193,"(n,g) I-S"
20Ne,6759.94,10.1193,"(n,g) I-P"
20Ne,5688.98,8.2339,"(n,g) I-S"
20Ne,3971.99,1.3365,"(n,g) I-P"
20Ne,2437.84,1.2888,"(n,g) I-S"
20Ne,964.44,1.1456,"(n,g) I-S"
20Ne,5991.65,0.9308,"(n,g) I-S"
20Ne,2076.53,0.8831,"(n,g) I-P"
20Ne,768.53,0.8115,"(n,g) I-P"
20Ne,6409.34,0.6921,"(n,g) I-P"
20Ne,4333.27,0.6205,"(n,g) I-S"
20Ne,3966.52,0.5489,"(n,g) I-P"
20Ne,3097.29,0.4535,"(n,g) I-P"
20Ne,3312.57,0.2387,"(n,g) I-S"
20Ne,4724.78,0.1957,"(n,g) I-S"
20Ne,2788.51,0.1742,"(n,g) I-S"
20Ne,874.84,0.148,"(n,g) I-S"
20Ne,4683.91,0.0382,"(n,g) I-S"
20Ne,1890.2,0.0286,"(n,g) I-S"
20Ne,869.37,0.0167,"(n,g) I-S"
20Ne,5641.04,0,"(n,g) I-S"
21Ne,1274.537,100,"(n,g) I-S"
21Ne,2082.6,61,"(n,g) I-S"
21Ne,4018.8,50,"(n,g) I-P"
21Ne,2987.7,47,"(n,g) I-S"
21Ne,2166.1,46,"(n,g) I-S"
21Ne,3181.4,26,"(n,g) I-S"
21Ne,4635,23,"(n,g) I-S"
21Ne,4840.4,21,"(n,g) I-P"
21Ne,9087.79,16,"(n,g) I-P"
