Isotope,Energy (keV),Sigma (mb),DSigma (mb)
1H,2223.248,333.0,0.7
2H,6250.243,0.519,0.007
3He,20520.46,4.2e-08,1.2e-08
6Li,7245.91,2.4699999999999998,0.13999999999999999
6Li,477.595,1.5299999999999998,0.08
6Li,6768.81,1.51,0.09000000000000001
7Li,2032.3,38.1,0.8
7Li,980.53,4.15,0.12999999999999998
7Li,1051.9,4.14,0.12000000000000001
9Be,6809.61,5.8,0.5
9Be,3367.448,2.85,0.22
9Be,853.63,2.0799999999999996,0.24000000000000002
9Be,2590.014,1.91,0.15
9Be,3443.406,0.98,0.06999999999999999
9Be,5956.53,0.146,0.012
9Be,631.92,0.018000000000000002,0.004
9Be,2896.02,0.011600000000000001,0.0013
9Be,547.55,0.0109,0.001
9Be,2811.68,0.010499999999999999,0.0012
9Be,5958.85,0.0068000000000000005,0.0007999999999999999
9Be,219.4,0.0045000000000000005,0.0006
9Be,304.24,0.0023,0.0005
10B,477.595,716000.0,25000.0
10B,4444.03,39.0,3.0
10B,7006.75,32.7,2.4
10B,4711.18,15.5,1.2
10B,6739.67,11.299999999999999,1.0
10B,2533.35,8.3,1.2
10B,8916.6,7.7,0.8
10B,2296.63,5.4,1.2
10B,11447.75,2.8,0.3
10B,4474.5,0.45,0.06999999999999999
12C,4945.301,2.61,0.05
12C,1261.765,1.24,0.030000000000000002
12C,3683.92,1.22,0.030000000000000002
12C,3089.057,0.0165,0.0007999999999999999
12C,595.015,0.0095,0.00039999999999999996
12C,1856.717,0.0062,0.00039999999999999996
13C,8174.04,0.0109,0.0006
13C,6092.46,0.00212,8.999999999999999e-05
13C,1586.91,0.0011,5.9999999999999995e-05
13C,495.71,0.00104,4.9999999999999996e-05
13C,1273.82,0.00064,8.999999999999999e-05
13C,808.82,0.00047,2.9999999999999997e-05
13C,2082.56,0.00032,4.9999999999999996e-05
14N,5269.159,23.599999999999998,0.3
14N,5297.821,16.8,0.23
14N,5533.395,15.5,0.8
14N,1884.821,14.7,0.18000000000000002
14N,6322.428,14.5,0.22
14N,4508.731,13.2,0.7
14N,3677.732,11.5,0.6
14N,10829.12,11.299999999999999,0.8
14N,5562.057,8.4,0.5
14N,7298.983,7.46,0.12000000000000001
14N,3531.981,7.1000000000000005,0.4
14N,1678.281,6.3,0.3
14N,2520.457,4.41,0.24000000000000002
14N,8310.161,3.3,0.060000000000000005
14N,1999.69,3.23,0.04
14N,2830.789,1.34,0.030000000000000002
14N,9148.98,1.2899999999999998,0.060000000000000005
14N,1681.24,1.2899999999999998,0.08
14N,3855.577,0.626,0.016
14N,3013.482,0.57,0.05
14N,1853.922,0.508,0.01
14N,3884.242,0.43600000000000005,0.013
14N,583.59,0.429,0.014
14N,1988.632,0.289,0.016
14N,1783.61,0.195,0.013
14N,2001.92,0.19,0.04
14N,9046.66,0.159,0.018000000000000002
14N,908.41,0.127,0.004
14N,9151.937,0.12000000000000001,0.030000000000000002
14N,3300.79,0.116,0.008
14N,1011.706,0.108,0.004
14N,9921.36,0.09899999999999999,0.008
14N,1612.15,0.095,0.011
14N,1073.0,0.06899999999999999,0.004
14N,3881.29,0.063,0.013
14N,2261.8,0.061,0.005
14N,2030.589,0.058,0.007
14N,1610.75,0.058,0.006
14N,8568.71,0.054,0.005
14N,767.82,0.051,0.003
14N,7153.27,0.05,0.006
14N,3269.41,0.047,0.008
14N,10061.85,0.045000000000000005,0.008
14N,9756.87,0.044,0.005
14N,831.218,0.037,0.006
14N,2293.18,0.036000000000000004,0.004
14N,3923.1,0.029,0.007
14N,976.996,0.028,0.009000000000000001
14N,608.28,0.025,0.01
14N,4653.95,0.022,0.005
14N,2898.31,0.017,0.004
14N,2725.47,0.016,0.004
14N,9219.43,0.015000000000000001,0.009000000000000001
14N,131.59,0.014,0.003
14N,1024.995,0.0126,0.0024
14N,1053.666,0.012,0.003
14N,2247.3,0.012,0.003
14N,769.92,0.008,0.003
14N,10697.63,0.008,0.005
14N,383.0,0.0055,0.0024
16O,870.68,0.177,0.011
16O,2184.42,0.164,0.007
16O,1087.75,0.158,0.007
16O,3272.02,0.0353,0.0023
17O,1981.95,0.00019999999999999998,4e-05
17O,3588.5,7.5e-05,1.4999999999999999e-05
17O,821.76,5.8e-05,1.2e-05
17O,1651.61,5.6e-05,1.1e-05
17O,1693.1,5.2000000000000004e-05,1e-05
17O,2473.29,4.2e-05,9e-06
17O,2946.6,3.8e-05,8.000000000000001e-06
17O,1938.26,3.4e-05,7e-06
17O,2430.68,2.9e-05,6e-06
17O,3115.4,2.8e-05,6e-06
17O,2666.4,2.2e-05,4.000000000000001e-06
17O,3395.39,1.9e-05,4.000000000000001e-06
17O,4369.23,1.7e-05,0.0
17O,1177.3,6.6e-06,0.0
17O,1895.76,6.4000000000000006e-06,0.0
17O,3919.98,6e-06,1.2e-06
17O,1457.36,3e-06,0.0
17O,1572.6,2.1999999999999997e-06,0.0
17O,1542.9,2.1999999999999997e-06,0.0
17O,535.09,2.0000000000000003e-06,0.0
19F,583.561,3.5599999999999996,0.12000000000000001
19F,656.006,1.97,0.06999999999999999
19F,665.207,1.49,0.060000000000000005
19F,983.538,1.16,0.04
19F,6600.175,0.9600000000000001,0.030000000000000002
19F,1056.776,0.95,0.030000000000000002
19F,6016.802,0.94,0.04
19F,1387.901,0.82,0.030000000000000002
19F,1309.126,0.76,0.030000000000000002
19F,3488.064,0.73,0.030000000000000002
19F,5033.53,0.63,0.030000000000000002
19F,2529.212,0.61,0.030000000000000002
19F,1843.688,0.6,0.023
19F,4556.817,0.517,0.023
19F,3964.872,0.435,0.018000000000000002
19F,5279.36,0.421,0.02
19F,166.7,0.41300000000000003,0.018000000000000002
19F,5543.713,0.40700000000000003,0.017
19F,3014.568,0.40499999999999997,0.015000000000000001
19F,2431.084,0.392,0.024
19F,3051.435,0.297,0.012
19F,3586.186,0.28600000000000003,0.013
19F,1542.498,0.27099999999999996,0.011
19F,1148.077,0.258,0.012
19F,3112.693,0.236,0.009000000000000001
19F,5291.42,0.235,0.011
19F,661.647,0.224,0.014
19F,822.7,0.22,0.009000000000000001
19F,556.4,0.201,0.008
19F,2143.248,0.195,0.008
19F,2469.34,0.194,0.009000000000000001
19F,2427.82,0.189,0.008
19F,3074.78,0.186,0.008
19F,4756.957,0.186,0.009000000000000001
19F,3589.45,0.179,0.008
19F,1045.98,0.179,0.008
19F,4173.527,0.166,0.007
19F,1371.52,0.14400000000000002,0.007
19F,2447.574,0.14400000000000002,0.007
19F,5616.933,0.14100000000000001,0.008
19F,2194.159,0.132,0.006
19F,2324.12,0.118,0.005
19F,5360.986,0.11699999999999999,0.005
19F,4200.68,0.111,0.006
19F,3823.093,0.107,0.006
19F,662.25,0.102,0.015000000000000001
19F,2636.09,0.096,0.005
19F,2920.96,0.096,0.005
19F,4245.68,0.095,0.005
19F,2965.854,0.093,0.005
19F,5935.179,0.091,0.008
19F,2529.553,0.09000000000000001,0.030000000000000002
19F,2179.091,0.089,0.006
19F,3679.79,0.087,0.008
19F,1970.726,0.085,0.006
19F,2930.284,0.085,0.005
19F,2255.83,0.085,0.005
19F,1282.15,0.085,0.005
19F,3025.1,0.08399999999999999,0.009000000000000001
19F,1392.191,0.083,0.005
19F,2655.7,0.076,0.006
19F,1644.538,0.073,0.006
19F,1935.52,0.073,0.005
19F,2043.858,0.06999999999999999,0.004
19F,2431.425,0.06999999999999999,0.030000000000000002
19F,978.19,0.068,0.006
19F,2519.02,0.068,0.005
19F,4951.9,0.062,0.006
19F,3220.0,0.061,0.004
19F,3387.58,0.061,0.005
19F,4046.504,0.060000000000000005,0.016
19F,3741.46,0.057,0.005
19F,4081.71,0.056,0.004
19F,4735.16,0.056,0.004
19F,2229.75,0.053,0.005
19F,5554.51,0.051,0.004
19F,4094.85,0.051,0.017
19F,4708.007,0.051,0.004
19F,4335.08,0.046,0.004
19F,2009.52,0.046,0.004
19F,1187.725,0.045000000000000005,0.003
19F,2309.929,0.045000000000000005,0.003
19F,2623.16,0.045000000000000005,0.003
19F,325.606,0.04,0.003
19F,2504.658,0.038,0.004
19F,3293.23,0.038,0.008
19F,2602.786,0.034999999999999996,0.003
19F,2981.26,0.034999999999999996,0.005
19F,3023.89,0.032,0.005
19F,2349.445,0.031,0.004
19F,4960.307,0.027,0.004
19F,1708.47,0.025,0.003
19F,3973.381,0.024,0.003
19F,620.431,0.0237,0.0018
19F,1318.48,0.0234,0.002
19F,2933.55,0.023,0.003
19F,4638.99,0.023,0.004
19F,2864.65,0.022,0.004
19F,2232.98,0.020999999999999998,0.003
19F,3607.8,0.020999999999999998,0.003
19F,2346.18,0.020999999999999998,0.004
19F,4954.86,0.020999999999999998,0.008
19F,653.144,0.02,0.003
19F,3071.0,0.02,0.003
19F,5318.39,0.019,0.003
19F,4313.46,0.018000000000000002,0.003
19F,3891.749,0.018000000000000002,0.003
19F,4091.9,0.017,0.003
19F,2352.4,0.017,0.003
19F,1836.29,0.0161,0.0019
19F,2969.8,0.016,0.003
19F,2556.37,0.016,0.003
19F,2121.16,0.015099999999999999,0.0019
19F,771.79,0.015000000000000001,0.004
