Isotope,Energy (keV),Intensity (%),Half life (s),Decay,Decay (%),Daughter
7Be,477.6035,10.44,4598208.0,EC,100.0,Li
11C,511.0,199.5338,1221.84,EC+B+,100.0,B
13N,511.0,199.6072,597.9,EC+B+,100.0,C
15O,511.0,199.8006,122.24,EC+B+,100.0,N
18F,511.0,193.46,6586.2,EC+B+,100.0,O
22Na,1274.537,99.94,82104810.00069347,EC+B+,100.0,Ne
22Na,511.0,179.91,82104810.00069347,EC+B+,100.0,Ne
22Na,0.848,0.0471212186331238,82104810.00069347,EC+B+,100.0,Ne
22Na,0.848,0.0937176186020761,82104810.00069347,EC+B+,100.0,Ne
24Na,996.6,0.0021,53989.2,B-,100.0,Mg
24Na,1368.626,99.9936,53989.2,B-,100.0,Mg
24Na,2754.007,99.855,53989.2,B-,100.0,Mg
24Na,2871.0,0.00025,53989.2,B-,100.0,Mg
24Na,3866.22,0.074,53989.2,B-,100.0,Mg
24Na,4238.9,0.00084,53989.2,B-,100.0,Mg
26Al,1129.67,2.5,22626315923782.465,EC+B+,100.0,Mg
26Al,1808.65,99.76,22626315923782.465,EC+B+,100.0,Mg
26Al,2938.0,0.24,22626315923782.465,EC+B+,100.0,Mg
26Al,511.0,163.46,22626315923782.465,EC+B+,100.0,Mg
26Al,511.0,199.8352,6.346,EC+B+,100.0,Mg
26Al,0.046,0.0101434705884126,22626315923782.465,EC+B+,100.0,Mg
26Al,0.046,4.580586e-05,6.346,EC+B+,100.0,Mg
26Al,1.254,0.0014353423769833,6.346,EC+B+,100.0,Mg
26Al,1.254,0.3177907835870764,22626315923782.465,EC+B+,100.0,Mg
26Al,1.254,0.0007221207498603,6.346,EC+B+,100.0,Mg
26Al,1.254,0.1598805432226581,22626315923782.465,EC+B+,100.0,Mg
38Cl,671.36,99.95,0.715,IT,100.0,Cl
38Cl,1209.4,0.02,2233.8,B-,100.0,Ar
38Cl,1642.68,32.9,2233.8,B-,100.0,Ar
