Isotope,Energy (keV),Sigma (mb),DSigma (mb),Half life (s),Decay
15N,6128.63,5.9e-05,1.19e-06,7.13,B-
15N,7115.15,4.2999999999999995e-06,4.08e-07,7.13,B-
15N,2741.5,7.2e-07,5.17e-08,7.13,B-
15N,2822.2,1.0999999999999999e-07,4.01e-08,7.13,B-
15N,1754.9,1.07e-07,9.21e-09,7.13,B-
15N,8869.3,6.7e-08,9.08e-09,7.13,B-
15N,6915.5,3.3000000000000004e-08,5.04e-09,7.13,B-
15N,1954.7,3.3000000000000004e-08,5.04e-09,7.13,B-
15N,986.93,3e-09,7.020000000000001e-10,7.13,B-
15N,867.7,8.49e-11,2.38e-12,7.13,B-
15N,1067.5,2.6e-11,4.78e-13,7.13,B-
15N,787.2,2.6000000000000002e-12,4.78e-14,7.13,B-
18O,197.142,0.000315,2.24e-05,26.9,B-
18O,1356.843,0.000166,1.1900000000000001e-05,26.9,B-
18O,1444.085,8.67e-06,6.19e-07,26.9,B-
18O,109.894,8.3e-06,6.359999999999999e-07,26.9,B-
18O,1553.97,4.5699999999999994e-06,3.25e-07,26.9,B-
18O,4180.063,2.6e-07,1.8599999999999998e-08,26.9,B-
18O,2582.517,6.21e-08,4.49e-09,26.9,B-
18O,1236.0,5.6e-08,7.96e-09,26.9,B-
18O,3907.74,1.26e-08,1.04e-09,26.9,B-
18O,2353.98,5.9e-09,8.94e-10,26.9,B-
18O,3797.87,4.4e-09,5.820000000000001e-10,26.9,B-
18O,3710.64,3.6e-09,5.559999999999999e-10,26.9,B-
18O,1149.0,1.6e-09,1.0799999999999999e-10,26.9,B-
19F,1633.53,9.6,0.4,11.2,B-
19F,3332.54,0.0007899999999999999,5.9999999999999995e-05,11.2,B-
19F,4965.85,5e-06,2.0000000000000003e-06,11.2,B-
22Ne,439.986,1.4,0.005180000000000001,37.2,B-
22Ne,1635.96,0.041,0.00141,37.2,B-
22Ne,2075.91,0.0042,0.0003,37.2,B-
22Ne,2981.85,0.00157,8.02e-05,37.2,B-
22Ne,2541.92,0.0011200000000000001,8.01e-05,37.2,B-
