Isotope,Energy (keV),XS (mb),Info
6Li,2186.0,170.771,"(n,n') XS"
6Li,4312.0,112.822,"(n,n') XS"
6Li,5366.0,96.8155,"(n,n') XS"
6Li,5650.0,35.4667,"(n,n') XS"
6Li,3464.0,35.4667,"(n,n') XS"
6Li,3562.8799999999997,30.2688,"(n,n') XS"
7Li,477.60999999999996,215.07,"(n,n') XS"
7Li,4630.0,165.865,"(n,n') XS"
7Li,6202.39,118.357,"(n,n') XS"
7Li,6981.89,35.6563,"(n,n') XS"
7Li,779.5,35.6563,"(n,n') XS"
7Li,9670.0,24.6113,"(n,n') XS"
7Li,5040.0,24.6113,"(n,n') XS"
7Li,9850.0,19.013,"(n,n') XS"
7Li,5220.0,19.013,"(n,n') XS"
7Li,11240.0,11.9511,"(n,n') XS"
7Li,6610.0,11.9511,"(n,n') XS"
9Be,2429.3999999999996,165.625,"(n,n') XS"
9Be,3049.0,90.5215,"(n,n') XS"
9Be,6380.0,68.5334,"(n,n') XS"
9Be,350.6,60.6478,"(n,n') XS"
9Be,4704.0,55.2858,"(n,n') XS"
9Be,5590.0,54.5011,"(n,n') XS"
9Be,6760.0,53.5249,"(n,n') XS"
9Be,1684.0,34.6665,"(n,n') XS"
9Be,5510.6,24.4556,"(n,n') XS"
9Be,5160.0,24.4556,"(n,n') XS"
9Be,11810.0,14.2873,"(n,n') XS"
9Be,11282.0,9.93906,"(n,n') XS"
9Be,8233.0,9.93906,"(n,n') XS"
10B,718.38,297.823,"(n,n') XS"
10B,1021.6700000000001,74.8196,"(n,n') XS"
10B,4055.6200000000003,70.8736,"(n,n') XS"
10B,2868.75,63.1923,"(n,n') XS"
10B,6024.9,58.2961,"(n,n') XS"
10B,414.21999999999997,32.3664,"(n,n') XS"
10B,3009.63,32.2517,"(n,n') XS"
10B,6560.1,30.0329,"(n,n') XS"
10B,1786.1,30.0329,"(n,n') XS"
10B,965.1999999999999,18.4457,"(n,n') XS"
10B,2541.9700000000003,18.4457,"(n,n') XS"
10B,3587.13,17.9171,"(n,n') XS"
10B,1435.89,17.1241,"(n,n') XS"
10B,6285.62,16.0597,"(n,n') XS"
10B,7004.0,16.0597,"(n,n') XS"
