Isotope,Energy (keV),XS (mb),Compound
00Li,478.4,248.04,7Li
00B,477.7,61.308,7Li
00B,2124.0,5.85,11B
00B,718.18,2.223,10B
00B,4442.2,2.223,11B
00B,5018.4,1.053,11B
00B,1021.4,0.275,10B
00B,2895.1,0.269,11B
00B,2867.3,0.246,10B
00B,1436.5,0.094,10B
00B,2155.0,0.064,10B
00C,4438.0,6.479,12C
00N,2312.8,6.224,14N
00N,1634.6,4.17,14N
00N,5104.6,1.369,14N
00N,729.6,0.747,14N
00N,3384.0,0.685,14N
00N,2792.5,0.355,14N
00N,3949.9,0.224,14N
00O,6129.3,3.063,16O
00O,1983.0,0.515,18O
00F,197.1,745.524,19F
00F,1356.5,73.172,19F
00F,1348.0,33.134,19F
00F,1235.8,27.612,19F
00F,1458.4,9.112,19F
00F,2582.6,5.522,19F
00F,1261.1,5.522,19F
00F,1444.0,4.142,19F
00F,1554.0,2.209,19F
00F,2653.8,1.491,19F
00F,2686.6,1.022,19F
00F,3905.9,0.966,19F
00F,4180.2,0.828,19F
00F,4354.8,0.552,19F
00F,4449.3,0.552,19F
00F,4558.3,0.552,19F
00F,2993.6,0.304,19F
00F,2352.6,0.276,19F
00F,3794.9,0.276,19F
00Na,440.0,650.52,23Na
00Na,1635.8,55.945,23Na
00Na,2640.1,13.01,23Na
00Na,2390.6,11.709,23Na
00Na,2981.7,9.107,23Na
00Na,2263.2,7.806,23Na
00Na,2542.0,7.156,23Na
00Na,1951.0,7.156,23Na
00Na,627.6,5.855,23Na
00Na,3238.2,5.855,23Na
00Na,2075.3,5.529,23Na
00Na,1772.5,5.204,23Na
00Na,3914.8,2.927,23Na
00Na,4334.0,2.602,23Na
00Na,4430.4,2.277,23Na
00Na,3848.2,1.301,23Na
00Na,2698.1,0.976,23Na
00Na,1839.3,0.651,23Na
00Mg,1368.53,131.04,24Mg
00Mg,584.9,19.656,25Mg
00Mg,1808.6,14.414,26Mg
00Mg,1611.6,7.862,25Mg
00Mg,389.7,7.338,25Mg
00Mg,974.6,7.076,25Mg
00Mg,2754.2,5.635,24Mg
00Mg,4238.6,5.242,24Mg
00Mg,350.5,5.111,21Ne
00Mg,1129.2,4.193,26Mg
00Mg,3867.4,2.228,24Mg
00Mg,2869.4,2.228,24Mg
00Mg,472.0,2.097,24Na
00Mg,1379.1,2.097,25Mg
00Mg,4641.7,1.245,24Mg
00Mg,1763.0,1.179,25Mg
00Mg,1963.7,1.114,25Mg
00Mg,989.7,1.114,25Mg
00Mg,1001.8,1.048,26Mg
00Mg,1979.3,0.655,25Mg
00Mg,2938.7,0.524,26Mg
00Mg,2132.1,0.459,26Mg
00Mg,2540.0,0.459,26Mg
00Mg,1410.4,0.459,26Mg
00Mg,2514.0,0.393,26Mg
00Mg,1590.0,0.262,25Mg
00Al,1014.4,131.04,27Al
00Al,843.75,78.624,27AI
00Al,2211.8,68.141,27Al
00Al,3004.5,23.587,27Al
00Al,1720.8,18.346,27AI
00Al,2981.3,10.09,27Al
00Al,170.6,6.421,27Al
00Al,2735.3,4.455,27Al
00Al,793.0,4.062,27Al
00Al,3210.4,2.752,27Al
00Al,984.5,2.228,27Mg
00Al,2299.2,2.097,27Al
00Al,4582.0,1.835,27Al
00Al,2835.8,1.441,27Al
00Al,4413.4,1.441,27Al
00Al,2664.5,1.179,27Al
00Al,2940.6,1.048,27Al
00Al,2371.7,1.048,27Al
00Al,3954.9,0.786,27Al
