Isotope,Energy (keV),Intensity (%),Info
40K,1460.82,10.66,Nat-40K
208Tl,722.04,0.201,Nat-232Th
208Tl,2614.533,99.0,Nat-232Th
208Tl,510.77,22.6,Nat-232Th
208Tl,860.564,12.42,Nat-232Th
208Tl,277.351,6.3100000000000005,Nat-232Th
208Tl,252.61,0.69,Nat-232Th
208Tl,1093.9,0.4,Nat-232Th
208Tl,763.13,1.81,Nat-232Th
208Tl,233.36,0.307,Nat-232Th
208Tl,982.7,0.203,Nat-232Th
212Pb,300.087,3.2800000000000002,Nat-232Th
212Pb,238.632,43.34,Nat-232Th
212Bi,1620.5,1.49,Nat-232Th
212Bi,785.37,1.102,Nat-232Th
212Bi,39.858,1.091,Nat-232Th
212Bi,1078.62,0.5640000000000001,Nat-232Th
212Bi,893.408,0.378,Nat-232Th
212Bi,452.83,0.31,Nat-232Th
212Bi,288.07,0.31,Nat-232Th
212Bi,1512.7,0.29,Nat-232Th
212Pb,115.183,0.592,Nat-232Th
212Bi,727.33,6.58,Nat-232Th
214Bi,1377.669,4.0,Nat-238U
214Bi,1069.96,0.27499999999999997,Nat-238U
214Bi,1594.73,0.25,Nat-238U
214Bi,1133.66,0.248,Nat-238U
214Bi,1599.31,0.22999999999999998,Nat-238U
214Bi,1873.16,0.219,Nat-238U
214Bi,1683.99,0.216,Nat-238U
214Pb,53.2275,1.2,Nat-238U
214Pb,241.997,7.430000000000001,Nat-238U
214Bi,2204.21,5.08,Nat-238U
214Pb,295.224,1.9300000000000002,Nat-238U
214Pb,351.932,37.6,Nat-238U
214Pb,785.96,1.0699999999999998,Nat-238U
214Bi,1238.11,5.79,Nat-238U
214Bi,1120.287,15.1,Nat-238U
214Bi,1764.494,15.4,Nat-238U
214Bi,609.312,46.1,Nat-238U
214Pb,533.66,0.186,Nat-238U
214Pb,462.0,0.22100000000000003,Nat-238U
214Bi,768.356,4.9399999999999995,Nat-238U
214Pb,580.13,0.35200000000000004,Nat-238U
214Pb,487.09,0.422,Nat-238U
214Pb,274.8,0.47400000000000003,Nat-238U
214Pb,258.87,0.524,Nat-238U
214Bi,454.77,0.3,Nat-238U
214Bi,2293.4,0.305,Nat-238U
214Pb,480.43,0.32,Nat-238U
214Bi,386.77,0.31,Nat-238U
214Bi,934.061,3.0300000000000002,Nat-238U
214Bi,1729.595,2.92,Nat-238U
214Bi,786.1,0.31,Nat-238U
214Bi,1407.98,2.15,Nat-238U
214Bi,1509.228,2.11,Nat-238U
214Bi,1847.42,2.11,Nat-238U
214Bi,1155.19,1.63,Nat-238U
