Isotope,Energy (keV),XS (mb),Info
6Li,2186.0,44.9517,"(n,n')6Li"
6Li,4312.0,34.0848,"(n,n')6Li"
6Li,5366.0,25.7703,"(n,n')6Li"
6Li,3464.0,9.32876,"(n,n')6Li"
6Li,5650.0,9.32876,"(n,n')6Li"
6Li,3562.8799999999997,7.93536,"(n,n')6Li"
6Li,477.60999999999996,0.000958947,"(n,g)7Li"
6Li,4630.0,0.000401386,"(n,g)7Li"
6Li,6202.39,0.000331639,"(n,g)7Li"
6Li,779.5,8.83313e-05,"(n,g)7Li"
6Li,6981.89,8.83313e-05,"(n,g)7Li"
6Li,5040.0,2.56399e-05,"(n,g)7Li"
6Li,9670.0,2.56399e-05,"(n,g)7Li"
6Li,9850.0,2.25872e-05,"(n,g)7Li"
6Li,5220.0,2.25872e-05,"(n,g)7Li"
6Li,11240.0,1.09938e-05,"(n,g)7Li"
6Li,6610.0,1.09938e-05,"(n,g)7Li"
6Li,13222.390000000001,1.75232e-06,"(n,g)7Li"
6Li,7020.0,1.75232e-06,"(n,g)7Li"
6Li,14700.0,1.20831e-06,"(n,g)7Li"
6Li,4850.0,1.20831e-06,"(n,g)7Li"
7Li,477.60999999999996,47.5574,"(n,n')7Li"
7Li,4630.0,40.7897,"(n,n')7Li"
7Li,6202.39,27.3667,"(n,n')7Li"
7Li,779.5,7.85215,"(n,n')7Li"
7Li,6981.89,7.85215,"(n,n')7Li"
7Li,5040.0,6.0445,"(n,n')7Li"
7Li,9670.0,6.0445,"(n,n')7Li"
7Li,5220.0,3.72625,"(n,n')7Li"
7Li,9850.0,3.72625,"(n,n')7Li"
7Li,6610.0,2.14748,"(n,n')7Li"
7Li,11240.0,2.14748,"(n,n')7Li"
7Li,2255.0,0.000357505,"(n,g)8Li"
7Li,980.8,0.000261278,"(n,g)8Li"
7Li,955.0,3.99114e-05,"(n,g)8Li"
7Li,2229.2000000000003,3.99114e-05,"(n,g)8Li"
7Li,6530.0,3.56971e-05,"(n,g)8Li"
7Li,3845.0,2.2839e-05,"(n,g)8Li"
7Li,5119.2,2.2839e-05,"(n,g)8Li"
7Li,3145.0,1.37629e-05,"(n,g)8Li"
7Li,4419.2,1.37629e-05,"(n,g)8Li"
7Li,7100.0,4.2294e-06,"(n,g)8Li"
7Li,2470.0,3.41966e-06,"(n,g)8Li"
7Li,9000.0,3.41966e-06,"(n,g)8Li"
7Li,8689.199999999999,1.50389e-06,"(n,g)8Li"
7Li,7415.0,1.50389e-06,"(n,g)8Li"
7Li,10822.2,3.12967e-07,"(n,g)8Li"
7Li,3722.2,3.12967e-07,"(n,g)8Li"
9Be,2429.3999999999996,120.094,"(n,n')9Be"
9Be,3049.0,67.1269,"(n,n')9Be"
9Be,6380.0,51.4909,"(n,n')9Be"
9Be,350.6,43.7748,"(n,n')9Be"
9Be,4704.0,40.1646,"(n,n')9Be"
9Be,6760.0,39.5203,"(n,n')9Be"
9Be,5590.0,38.9989,"(n,n')9Be"
9Be,1684.0,24.5767,"(n,n')9Be"
9Be,5160.0,17.795,"(n,n')9Be"
9Be,5510.6,17.795,"(n,n')9Be"
9Be,477.60999999999996,15.0174,"(n,2n)7Li"
9Be,11810.0,10.4396,"(n,n')9Be"
9Be,8233.0,7.43164,"(n,n')9Be"
9Be,11282.0,7.43164,"(n,n')9Be"
9Be,3368.03,0.00497257,"(n,g)10Be"
9Be,2590.36,0.00113819,"(n,g)10Be"
9Be,2895.27,0.000951131,"(n,g)10Be"
9Be,5959.900000000001,0.000454251,"(n,g)10Be"
9Be,1412.61,0.000309142,"(n,g)10Be"
9Be,4002.9700000000003,0.000309142,"(n,g)10Be"
9Be,7542.0,0.000272523,"(n,g)10Be"
9Be,4173.969999999999,0.000272523,"(n,g)10Be"
9Be,3006.7,0.000272225,"(n,g)10Be"
9Be,2811.27,0.000150595,"(n,g)10Be"
9Be,5958.389999999999,0.000126465,"(n,g)10Be"
9Be,6191.97,0.000107059,"(n,g)10Be"
9Be,9560.0,0.000107059,"(n,g)10Be"
9Be,2591.87,9.30394e-05,"(n,g)10Be"
9Be,6781.97,8.01763e-05,"(n,g)10Be"
9Be,4191.61,8.01763e-05,"(n,g)10Be"
9Be,219.4,4.75563e-05,"(n,g)10Be"
9Be,303.4,9.60739e-06,"(n,g)10Be"
9Be,6263.3,9.60739e-06,"(n,g)10Be"
10B,4630.0,132.0,"(n,3He)7Li"
10B,477.60999999999996,124.127,"(n,3He)7Li"
10B,3368.03,70.308,"(n,p)10Be"
10B,6202.39,62.0615,"(n,3He)7Li"
10B,11240.0,56.3353,"(n,3He)7Li"
10B,6610.0,56.3353,"(n,3He)7Li"
10B,5040.0,48.5549,"(n,3He)7Li"
10B,9670.0,48.5549,"(n,3He)7Li"
10B,3030.0,39.3208,"(n,T)8Be"
10B,779.5,34.1899,"(n,3He)7Li"
10B,6981.89,34.1899,"(n,3He)7Li"
10B,7020.0,27.8715,"(n,3He)7Li"
10B,13222.390000000001,27.8715,"(n,3He)7Li"
10B,5220.0,27.2911,"(n,3He)7Li"
10B,9850.0,27.2911,"(n,3He)7Li"
10B,1684.0,21.6708,"(n,D)9Be"
10B,2429.3999999999996,14.7482,"(n,D)9Be"
10B,2590.36,14.7263,"(n,p)10Be"
10B,718.38,14.0685,"(n,n')10B"
10B,3049.0,12.6667,"(n,D)9Be"
10B,11350.0,11.2802,"(n,T)8Be"
10B,2868.75,10.8254,"(n,n')10B"
10B,2895.27,10.5279,"(n,p)10Be"
10B,4704.0,8.51251,"(n,D)9Be"
10B,350.6,5.77901,"(n,D)9Be"
10B,3006.7,5.50235,"(n,p)10Be"
10B,4173.969999999999,3.32662,"(n,p)10Be"
10B,7542.0,3.32662,"(n,p)10Be"
10B,3587.13,3.06938,"(n,n')10B"
10B,1500.0,2.6191,"(n,2n)9B"
10B,1412.61,2.59986,"(n,p)10Be"
10B,4002.9700000000003,2.59986,"(n,p)10Be"
10B,1432.8600000000001,2.26232,"(n,n')10B"
10B,1021.6700000000001,1.88541,"(n,n')10B"
10B,414.21999999999997,1.76895,"(n,n')10B"
10B,2541.9700000000003,1.75138,"(n,n')10B"
10B,965.1999999999999,1.75138,"(n,n')10B"
10B,2186.0,1.71029,"(n,a)6Li"
10B,4850.0,1.6527,"(n,3He)7Li"
10B,14700.0,1.6527,"(n,3He)7Li"
10B,5958.389999999999,1.63625,"(n,p)10Be"
10B,5959.900000000001,1.22484,"(n,p)10Be"
10B,4312.0,1.19072,"(n,a)6Li"
10B,3009.63,1.1588,"(n,n')10B"
10B,845.0,1.06047,"(n,2n)9B"
10B,2811.27,1.04981,"(n,p)10Be"
10B,6024.9,1.02679,"(n,n')10B"
10B,1435.89,0.935901,"(n,n')10B"
10B,6191.97,0.920907,"(n,p)10Be"
10B,9560.0,0.920907,"(n,p)10Be"
10B,5366.0,0.759956,"(n,a)6Li"
10B,2154.27,0.723352,"(n,n')10B"
10B,3562.8799999999997,0.59846,"(n,a)6Li"
10B,2751.0,0.585878,"(n,2n)9B"
10B,6781.97,0.521763,"(n,p)10Be"
10B,4191.61,0.521763,"(n,p)10Be"
10B,1280.0,0.404533,"(n,2n)9B"
10B,435.0,0.404533,"(n,2n)9B"
10B,4445.52,0.401074,"(n,n')10B"
10B,219.4,0.331519,"(n,p)10Be"
10B,5650.0,0.29004,"(n,a)6Li"
10B,3464.0,0.29004,"(n,a)6Li"
10B,2591.87,0.250871,"(n,p)10Be"
10B,1576.77,0.138431,"(n,n')10B"
10B,303.4,0.106342,"(n,p)10Be"
10B,6263.3,0.106342,"(n,p)10Be"
10B,2124.69,0.0817993,"(n,g)11B"
10B,5163.9,0.0780892,"(n,n')10B"
10B,1847.0800000000002,0.048471,"(n,n')10B"
10B,4444.9800000000005,0.0358253,"(n,g)11B"
10B,5919.5,0.0218943,"(n,n')10B"
10B,5020.3,0.0175728,"(n,g)11B"
10B,8895.0,0.015574,"(n,n')10B"
10B,5729.95,0.0106336,"(n,n')10B"
10B,3882.87,0.0106336,"(n,n')10B"
10B,5134.95,0.0106189,"(n,n')10B"
10B,4482.87,0.00950785,"(n,n')10B"
10B,6329.95,0.00950785,"(n,n')10B"
10B,4223.87,0.00947293,"(n,n')10B"
10B,6070.95,0.00947293,"(n,n')10B"
10B,3423.85,0.00887454,"(n,n')10B"
10B,6709.62,0.00856773,"(n,n')10B"
10B,5092.87,0.00854655,"(n,n')10B"
10B,6939.95,0.00854655,"(n,n')10B"
10B,6741.85,0.00777935,"(n,g)11B"
10B,7839.95,0.00727137,"(n,n')10B"
10B,5992.87,0.00727137,"(n,n')10B"
10B,2317.7,0.00595982,"(n,n')10B"
10B,5299.87,0.00544182,"(n,n')10B"
10B,3723.1,0.00544182,"(n,n')10B"
10B,7285.51,0.00531223,"(n,g)11B"
10B,9084.949999999999,0.00527899,"(n,n')10B"
10B,7237.87,0.00527899,"(n,n')10B"
10B,5201.120000000001,0.00480607,"(n,n')10B"
10B,5110.299999999999,0.00436484,"(n,n')10B"
